recclass,year,id
Acapulcoite,1976-01-01T00:00:00.000,10
Achondrite-ung,1917-01-01T00:00:00.000,10
Angrite,1869-01-01T00:00:00.000,10
Aubrite,1836-01-01T00:00:00.000,10
Aubrite,1843-01-01T00:00:00.000,12
Aubrite,1852-01-01T00:00:00.000,10
Aubrite,1919-01-01T00:00:00.000,12
Aubrite,1932-01-01T00:00:00.000,10
Aubrite,1933-01-01T00:00:00.000,10
Aubrite,1946-01-01T00:00:00.000,12
Aubrite,1948-01-01T00:00:00.000,12
Aubrite,1974-01-01T00:00:00.000,10
C,2012-01-01T00:00:00.000,12
C2-ung,1957-01-01T00:00:00.000,10
C2-ung,1961-01-01T00:00:00.000,12
C2-ung,2000-01-01T00:00:00.000,10
C3-ung,1983-01-01T00:00:00.000,10
CBa,1984-01-01T00:00:00.000,10
CI1,1806-01-01T00:00:00.000,10
CI1,1864-01-01T00:00:00.000,10
CI1,1938-01-01T00:00:00.000,10
CI1,1965-01-01T00:00:00.000,10
CK4,1930-01-01T00:00:00.000,10
CK4,1999-01-01T00:00:00.000,10
CM2,1838-01-01T00:00:00.000,10
CM2,1879-01-01T00:00:00.000,10
CM2,1889-01-01T00:00:00.000,10
CM2,1890-01-01T00:00:00.000,10
CM2,1921-01-01T00:00:00.000,10
CM2,1930-01-01T00:00:00.000,10
CM2,1933-01-01T00:00:00.000,10
CM2,1936-01-01T00:00:00.000,12
CM2,1939-01-01T00:00:00.000,10
CM2,1940-01-01T00:00:00.000,10
CM2,1942-01-01T00:00:00.000,10
CM2,1950-01-01T00:00:00.000,12
CM2,1969-01-01T00:00:00.000,10
CM2,1986-01-01T00:00:00.000,10
CM2,2009-01-01T00:00:00.000,10
CO3.2,1937-01-01T00:00:00.000,10
CO3.3,1900-01-01T00:00:00.000,12
CO3.4,1868-01-01T00:00:00.000,10
CO3.5,1872-01-01T00:00:00.000,10
CO3.6,2006-01-01T00:00:00.000,10
CR2,1824-01-01T00:00:00.000,10
CR2,1980-01-01T00:00:00.000,10
CR2-an,1957-01-01T00:00:00.000,10
CV3,1857-01-01T00:00:00.000,10
CV3,1861-01-01T00:00:00.000,10
CV3,1907-01-01T00:00:00.000,10
CV3,1908-01-01T00:00:00.000,10
CV3,1969-01-01T00:00:00.000,10
CV3,2001-01-01T00:00:00.000,10
Diogenite,1843-01-01T00:00:00.000,10
Diogenite,1850-01-01T00:00:00.000,10
Diogenite,1870-01-01T00:00:00.000,10
Diogenite,1871-01-01T00:00:00.000,10
Diogenite,1924-01-01T00:00:00.000,12
Diogenite,1925-01-01T00:00:00.000,10
Diogenite,1931-01-01T00:00:00.000,10
Diogenite,1999-01-01T00:00:00.000,10
Diogenite-pm,1950-01-01T00:00:00.000,12
Diogenite-pm,1953-01-01T00:00:00.000,10
Diogenite-pm,1974-01-01T00:00:00.000,10
EH3,1942-01-01T00:00:00.000,10
EH3,1976-01-01T00:00:00.000,10
EH3/4-an,1952-01-01T00:00:00.000,10
EH4,1891-01-01T00:00:00.000,10
EH4,1919-01-01T00:00:00.000,10
EH4,1952-01-01T00:00:00.000,10
EH5,1903-01-01T00:00:00.000,10
EH5,1914-01-01T00:00:00.000,10
EH7-an,1990-01-01T00:00:00.000,10
EL6,1863-01-01T00:00:00.000,10
EL6,1868-01-01T00:00:00.000,10
EL6,1873-01-01T00:00:00.000,10
EL6,1901-01-01T00:00:00.000,10
EL6,1926-01-01T00:00:00.000,10
EL6,1947-01-01T00:00:00.000,12
EL6,2002-01-01T00:00:00.000,10
Eucrite,2004-01-01T00:00:00.000,12
Eucrite,2007-01-01T00:00:00.000,10
Eucrite-br,2007-01-01T00:00:00.000,10
Eucrite-cm,1875-01-01T00:00:00.000,10
Eucrite-cm,1913-01-01T00:00:00.000,12
Eucrite-cm,1923-01-01T00:00:00.000,10
